path,classification,reason
.gitignore,Runtime Dependency,"Packaging, license, requirements, or corpus data consumed by runtime/examples."
CHANGELOG_AUDIT_FIXES_2026-07-16.md,Documentation,Project documentation.
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/Emergent Temporal Scaffolding in a Self-Organizing Concept Graph.pdf,Research,"Paper, figure, bibliography, or verification bundle."
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/figures.zip,Research,"Paper, figure, bibliography, or verification bundle."
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/references.bib,Research,"Paper, figure, bibliography, or verification bundle."
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/results.zip,Generated Output,Experiment artifact or packaged run output; preserved pending maintainer approval.
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/verdant_v2.bib,Research,"Paper, figure, bibliography, or verification bundle."
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/verdant_v2_paper.tex,Research,"Paper, figure, bibliography, or verification bundle."
Emergent Temporal Scaffolding in a Self-Organizing Concept Graph/verdant_v2_plaintext.txt,Research,"Paper, figure, bibliography, or verification bundle."
INSTALL.md,Documentation,Project documentation.
LICENSE,Runtime Dependency,"Packaging, license, requirements, or corpus data consumed by runtime/examples."
"Paper/Verdant-Minds V3 A Developmental Cognitive Substrate with Intrinsic Thermodynamic Governance Architecture, Validation, and Empirical Results.pdf",Research,"Paper, figure, bibliography, or verification bundle."
Paper/figures/basin_genealogy_v4.png,Research,"Paper, figure, bibliography, or verification bundle."
Paper/figures/basin_structure_v4.png,Research,"Paper, figure, bibliography, or verification bundle."
Paper/figures/emergent_scaffold_v4.png,Research,"Paper, figure, bibliography, or verification bundle."
Paper/figures/memory_web_v4.png,Research,"Paper, figure, bibliography, or verification bundle."
Paper/figures/node_edge_stats_v4.png,Research,"Paper, figure, bibliography, or verification bundle."
Paper/figures/thermo_cycle_v4.png,Research,"Paper, figure, bibliography, or verification bundle."
Paper/references.bib,Research,"Paper, figure, bibliography, or verification bundle."
Paper/verdant_v3.tex,Research,"Paper, figure, bibliography, or verification bundle."
Paper/verdant_v3_verification_bundle_20260325_065424/MANIFEST.json,Research,"Paper, figure, bibliography, or verification bundle."
Paper/verdant_v3_verification_bundle_20260325_065424/README.md,Research,"Paper, figure, bibliography, or verification bundle."
Paper/verdant_v3_verification_bundle_20260325_065424/thermo_verify_v4/run_20260325T053952Z/seed_0/Figures.zip,Generated Output,Experiment artifact or packaged run output; preserved pending maintainer approval.
Paper/verdant_v3_verification_bundle_20260325_065424/thermo_verify_v4/run_20260325T053952Z/seed_0/basin_snapshots.zip,Generated Output,Experiment artifact or packaged run output; preserved pending maintainer approval.
Paper/verdant_v3_verification_bundle_20260325_065424/thermo_verify_v4/run_20260325T053952Z/seed_0/cycles.zip,Generated Output,Experiment artifact or packaged run output; preserved pending maintainer approval.
README.md,Documentation,Project documentation.
Verdant_Minds_Runner_Patched (2).py,Legacy,Operational patched runner retained as behavioral specification.
analysis/README.md,Tooling,Analysis or validation tooling.
analysis/baseline_random_graph.py,Tooling,Analysis or validation tooling.
analysis/basin_detection_robustness.py,Tooling,Analysis or validation tooling.
analysis/basin_persistence_analysis.py,Tooling,Analysis or validation tooling.
analysis/compare_intervention_runs.py,Tooling,Analysis or validation tooling.
analysis/compare_self_reflection.py,Tooling,Analysis or validation tooling.
analysis/compression_analysis.py,Tooling,Analysis or validation tooling.
analysis/compute_null_models.py,Tooling,Analysis or validation tooling.
analysis/count_graph_size.py,Tooling,Analysis or validation tooling.
analysis/daughter_basin_analysis.py,Tooling,Analysis or validation tooling.
analysis/detect_onset.py,Tooling,Analysis or validation tooling.
analysis/detect_self_referential_concepts.py,Tooling,Analysis or validation tooling.
analysis/export_backbone_graph.py,Tooling,Analysis or validation tooling.
analysis/extract_emergent_concepts.py,Tooling,Analysis or validation tooling.
analysis/extract_scaffolding_metrics.py,Tooling,Analysis or validation tooling.
analysis/fit_two_timescale_mixture.py,Tooling,Analysis or validation tooling.
analysis/h1_coherence_analysis.py,Tooling,Analysis or validation tooling.
analysis/make_baseline_comparison_figure.py,Tooling,Analysis or validation tooling.
analysis/make_compression_stability_figures.py,Tooling,Analysis or validation tooling.
analysis/make_daughter_figure.py,Tooling,Analysis or validation tooling.
analysis/make_figures.py,Tooling,Analysis or validation tooling.
analysis/make_phase_diagram_figure.py,Tooling,Analysis or validation tooling.
